drop_multiplier,perc_drop_threshold,waiting_days,perc_monthly_invest,mean_roi,perc_conservative_better,runtime
9,0.03,8,0.6,130.04059028717873,0.8235294117647058,71.73225259780885
9,0.04,5,0.6,130.03305251210872,0.8235294117647058,86.5132257938385
9,0.045,5,0.6,130.0302889594001,0.8039215686274509,79.54524302482605
9,0.05,8,0.7,130.02076066146788,0.8431372549019608,51.578696012496955
9,0.045,4,0.6,130.01457278573312,0.8039215686274509,95.1586983203888
9,0.04,8,0.6,130.00811873583015,0.7843137254901961,60.39126992225647
9,0.05,3,0.6,129.98318771039163,0.8039215686274509,113.22383165359496
9,0.04,6,0.6,129.9759777392211,0.8039215686274509,75.03363227844237
9,0.05,5,0.6,129.9750515157953,0.7843137254901961,73.51440405845642
9,0.05,4,0.6,129.97459752435728,0.8039215686274509,88.52178597450256
9,0.045,8,0.6,129.970985360069,0.8039215686274509,55.36061215400696
9,0.04,7,0.6,129.9680133301614,0.8431372549019608,66.73601770401001
9,0.045,3,0.6,129.96374493328534,0.8431372549019608,121.46482157707214
9,0.05,7,0.6,129.93146065430102,0.7647058823529411,57.02478981018066
9,0.045,7,0.6,129.91110601631308,0.8039215686274509,61.39726829528809
9,0.045,6,0.6,129.8741176308222,0.8431372549019608,68.6338565349579
9,0.05,6,0.6,129.8628980155948,0.8235294117647058,63.90478372573853
9,0.05,8,0.6,129.83491155066247,0.8431372549019608,51.59337139129639
9,0.03,3,0.9,130.48581233395737,0.8431372549019608,156.0275688171387
8,0.035,3,0.9,130.48193329142143,0.8431372549019608,143.93794536590573
8,0.03,3,0.9,130.478261720447,0.8431372549019608,157.5753071308136
9,0.03,4,0.9,130.47330606937663,0.8627450980392157,122.4732027053833
7,0.035,3,0.9,130.47255496899143,0.8431372549019608,142.8346803188324
7,0.03,3,0.9,130.4695435066122,0.8627450980392157,156.44657158851626
8,0.03,4,0.9,130.46522855339262,0.8431372549019608,123.4436538219452
8,0.035,4,0.9,130.46365519699978,0.8235294117647058,112.54900550842285
6,0.035,3,0.9,130.46088633277859,0.8431372549019608,142.48313903808594
6,0.03,3,0.9,130.45877226354904,0.8627450980392157,156.33874845504758
8,0.035,5,0.9,130.45836893567363,0.7843137254901961,93.75843906402588
7,0.03,4,0.9,130.45545792005254,0.8431372549019608,122.80633664131165
8,0.03,5,0.9,130.45452948510746,0.8235294117647058,103.27142548561096
7,0.035,4,0.9,130.45235842609915,0.8235294117647058,111.96777820587158
8,0.035,6,0.9,130.4486441763085,0.8235294117647058,80.95306444168091
8,0.04,3,0.9,130.44794338078802,0.8431372549019608,131.58966422080994
8,0.04,4,0.9,130.44683050742933,0.8235294117647058,102.92513132095335
7,0.035,5,0.9,130.44650790879246,0.7843137254901961,93.9079248905182
5,0.035,3,0.9,130.44593789229003,0.8235294117647058,143.2496273517609
5,0.03,3,0.9,130.44497447223043,0.8235294117647058,156.734388589859
7,0.03,5,0.9,130.44354080926294,0.8235294117647058,102.57462215423584
6,0.03,4,0.9,130.4423655570989,0.8431372549019608,122.48024773597716
8,0.03,6,0.9,130.44099951675173,0.8235294117647058,89.61825299263
8,0.03,7,0.9,130.44098323030838,0.8235294117647058,79.51487517356874
7,0.04,3,0.9,130.44022897857587,0.8431372549019608,132.13527798652652
8,0.035,7,0.9,130.43947176588273,0.8235294117647058,71.78987121582031
6,0.035,4,0.9,130.43757754377637,0.8235294117647058,111.62528586387634
